product1,product2,total_countries,countries_correlation,percentage
Bread,Bread,20,0,0.0
Bread,Rice,18,1,5.555555555555555
Bread,Wage,5,0,0.0
Bread,Fuel(diesel),10,0,0.0
Bread,Beans,15,2,13.333333333333334
Bread,Potatoes,12,1,8.333333333333334
Bread,Eggs,11,2,18.181818181818183
Bread,Meat,14,4,28.571428571428573
Bread,Sugar,15,3,20.0
Bread,Lentils,6,0,0.0
Bread,Pasta,8,1,12.5
Bread,Tomatoes,9,1,11.11111111111111
Bread,Oil,18,6,33.333333333333336
Bread,Cheese,7,1,14.285714285714286
Bread,Carrots,5,0,0.0
Bread,Onions,9,1,11.11111111111111
Bread,Bananas,6,1,16.666666666666668
Bread,Tea,7,0,0.0
Bread,Fuel(petrol-gasoline),10,0,0.0
Bread,Fish,9,1,11.11111111111111
Bread,Apples,6,0,0.0
Bread,Milk,11,3,27.272727272727273
Bread,Flour,13,5,38.46153846153846
Bread,Cabbage,6,0,0.0
Bread,Maize,7,2,28.571428571428573
Bread,Groundnuts,5,0,0.0
Bread,Salt,9,3,33.333333333333336
Bread,Chickpeas,6,1,16.666666666666668
Wheat,Wheat,15,0,0.0
Wheat,Rice,13,3,23.076923076923077
Wheat,Wage,5,0,0.0
Wheat,Fuel(diesel),7,1,14.285714285714286
Wheat,Beans,8,0,0.0
Wheat,Potatoes,5,0,0.0
Wheat,Eggs,6,1,16.666666666666668
Wheat,Meat,5,1,20.0
Wheat,Sugar,10,1,10.0
Wheat,Oil,10,4,40.0
Wheat,Onions,5,0,0.0
Wheat,Fuel(petrol-gasoline),6,0,0.0
Wheat,Milk,7,2,28.571428571428573
Wheat,Flour,8,3,37.5
Wheat,Sorghum,7,1,14.285714285714286
Wheat,Maize,7,2,28.571428571428573
Wheat,Peas,5,0,0.0
Wheat,Salt,6,1,16.666666666666668
Rice,Bread,18,1,5.555555555555555
Rice,Wheat,13,3,23.076923076923077
Rice,Rice,66,0,0.0
Rice,Wage,11,1,9.090909090909092
Rice,Livestock,6,0,0.0
Rice,Fuel(diesel),22,5,22.727272727272727
Rice,Exchangerate,8,0,0.0
Rice,Beans,38,7,18.42105263157895
Rice,Potatoes,20,0,0.0
Rice,Eggs,22,4,18.181818181818183
Rice,Meat,30,4,13.333333333333334
Rice,Sugar,34,8,23.529411764705884
Rice,Lentils,15,2,13.333333333333334
Rice,Pasta,14,3,21.428571428571427
Rice,Tomatoes,17,0,0.0
Rice,Oil,41,13,31.70731707317073
Rice,Cheese,10,0,0.0
Rice,Carrots,9,0,0.0
Rice,Onions,18,0,0.0
Rice,Bananas,8,0,0.0
Rice,Tea,8,1,12.5
Rice,Fuel(petrol-gasoline),20,0,0.0
Rice,Fish,15,0,0.0
Rice,Apples,9,0,0.0
Rice,Milk,18,1,5.555555555555555
Rice,Flour,37,9,24.324324324324323
Rice,Cabbage,10,0,0.0
Rice,Cucumbers,7,0,0.0
Rice,Fuel(kerosene),7,1,14.285714285714286
Rice,Sorghum,19,3,15.789473684210526
Rice,Maize,35,10,28.571428571428573
Rice,Millet,12,3,25.0
Rice,Sweetpotatoes,5,0,0.0
Rice,Groundnuts,14,2,14.285714285714286
Rice,Peas,8,0,0.0
Rice,Cassava,12,1,8.333333333333334
Rice,Garlic,9,0,0.0
Rice,Plantains,6,0,0.0
Rice,Salt,17,3,17.647058823529413
Rice,Chickpeas,8,1,12.5
Rice,Oranges,6,0,0.0
Rice,Spinach,5,0,0.0
Wage,Bread,5,0,0.0
Wage,Wheat,5,0,0.0
Wage,Rice,11,1,9.090909090909092
Wage,Wage,11,0,0.0
Wage,Fuel(diesel),9,1,11.11111111111111
Wage,Beans,7,0,0.0
Wage,Potatoes,6,0,0.0
Wage,Eggs,6,0,0.0
Wage,Meat,8,0,0.0
Wage,Sugar,7,0,0.0
Wage,Lentils,5,0,0.0
Wage,Tomatoes,5,0,0.0
Wage,Oil,10,0,0.0
Wage,Onions,6,0,0.0
Wage,Fuel(petrol-gasoline),7,1,14.285714285714286
Wage,Milk,5,0,0.0
Wage,Flour,7,1,14.285714285714286
Wage,Salt,8,0,0.0
Wage,Chickpeas,5,0,0.0
Livestock,Rice,6,0,0.0
Livestock,Livestock,6,0,0.0
Fuel(diesel),Bread,10,0,0.0
Fuel(diesel),Wheat,7,1,14.285714285714286
Fuel(diesel),Rice,22,5,22.727272727272727
Fuel(diesel),Wage,9,1,11.11111111111111
Fuel(diesel),Fuel(diesel),24,0,0.0
Fuel(diesel),Exchangerate,8,0,0.0
Fuel(diesel),Beans,15,2,13.333333333333334
Fuel(diesel),Potatoes,11,0,0.0
Fuel(diesel),Eggs,12,0,0.0
Fuel(diesel),Meat,15,2,13.333333333333334
Fuel(diesel),Sugar,16,0,0.0
Fuel(diesel),Lentils,7,0,0.0
Fuel(diesel),Pasta,8,1,12.5
Fuel(diesel),Tomatoes,8,0,0.0
Fuel(diesel),Oil,21,3,14.285714285714286
Fuel(diesel),Cheese,5,1,20.0
Fuel(diesel),Carrots,7,0,0.0
Fuel(diesel),Onions,10,0,0.0
Fuel(diesel),Tea,5,0,0.0
Fuel(diesel),Fuel(petrol-gasoline),20,7,35.0
Fuel(diesel),Fish,7,2,28.571428571428573
Fuel(diesel),Apples,5,0,0.0
Fuel(diesel),Milk,12,1,8.333333333333334
Fuel(diesel),Flour,16,7,43.75
Fuel(diesel),Cabbage,6,0,0.0
Fuel(diesel),Fuel(kerosene),6,0,0.0
Fuel(diesel),Sorghum,6,1,16.666666666666668
Fuel(diesel),Maize,13,1,7.6923076923076925
Fuel(diesel),Peas,6,1,16.666666666666668
Fuel(diesel),Cassava,6,1,16.666666666666668
Fuel(diesel),Salt,10,0,0.0
Exchangerate,Rice,8,0,0.0
Exchangerate,Fuel(diesel),8,0,0.0
Exchangerate,Exchangerate,9,0,0.0
Exchangerate,Oil,6,0,0.0
Exchangerate,Fuel(petrol-gasoline),6,0,0.0
Exchangerate,Flour,6,0,0.0
Exchangerate,Maize,6,0,0.0
Beans,Bread,15,2,13.333333333333334
Beans,Wheat,8,0,0.0
Beans,Rice,38,7,18.42105263157895
Beans,Wage,7,0,0.0
Beans,Fuel(diesel),15,2,13.333333333333334
Beans,Beans,43,0,0.0
Beans,Potatoes,14,0,0.0
Beans,Eggs,15,0,0.0
Beans,Meat,19,0,0.0
Beans,Sugar,21,3,14.285714285714286
Beans,Lentils,10,1,10.0
Beans,Pasta,11,1,9.090909090909092
Beans,Tomatoes,13,1,7.6923076923076925
Beans,Oil,28,1,3.5714285714285716
Beans,Cheese,8,0,0.0
Beans,Carrots,7,0,0.0
Beans,Onions,13,0,0.0
Beans,Bananas,7,0,0.0
Beans,Tea,6,0,0.0
Beans,Fuel(petrol-gasoline),15,1,6.666666666666667
Beans,Fish,11,1,9.090909090909092
Beans,Apples,7,0,0.0
Beans,Milk,13,1,7.6923076923076925
Beans,Flour,29,5,17.24137931034483
Beans,Cabbage,8,0,0.0
Beans,Cucumbers,5,1,20.0
Beans,Fuel(kerosene),5,0,0.0
Beans,Sorghum,18,4,22.22222222222222
Beans,Maize,30,4,13.333333333333334
Beans,Millet,12,2,16.666666666666668
Beans,Sweetpotatoes,5,0,0.0
Beans,Groundnuts,15,2,13.333333333333334
Beans,Peas,9,1,11.11111111111111
Beans,Cassava,10,1,10.0
Beans,Garlic,7,1,14.285714285714286
Beans,Salt,13,2,15.384615384615385
Beans,Chickpeas,6,0,0.0
Beans,Oranges,5,0,0.0
Beans,Spinach,5,0,0.0
Potatoes,Bread,12,1,8.333333333333334
Potatoes,Wheat,5,0,0.0
Potatoes,Rice,20,0,0.0
Potatoes,Wage,6,0,0.0
Potatoes,Fuel(diesel),11,0,0.0
Potatoes,Beans,14,0,0.0
Potatoes,Potatoes,22,0,0.0
Potatoes,Eggs,16,1,6.25
Potatoes,Meat,18,1,5.555555555555555
Potatoes,Sugar,18,0,0.0
Potatoes,Lentils,9,0,0.0
Potatoes,Pasta,8,1,12.5
Potatoes,Tomatoes,15,1,6.666666666666667
Potatoes,Oil,18,1,5.555555555555555
Potatoes,Cheese,8,1,12.5
Potatoes,Carrots,9,0,0.0
Potatoes,Onions,17,2,11.764705882352942
Potatoes,Bananas,8,1,12.5
Potatoes,Tea,7,0,0.0
Potatoes,Fuel(petrol-gasoline),12,0,0.0
Potatoes,Fish,9,0,0.0
Potatoes,Apples,9,0,0.0
Potatoes,Milk,15,1,6.666666666666667
Potatoes,Flour,15,0,0.0
Potatoes,Cabbage,9,0,0.0
Potatoes,Cucumbers,6,0,0.0
Potatoes,Maize,10,0,0.0
Potatoes,Groundnuts,5,0,0.0
Potatoes,Peas,6,0,0.0
Potatoes,Garlic,8,0,0.0
Potatoes,Salt,11,2,18.181818181818183
Potatoes,Chickpeas,6,0,0.0
Potatoes,Oranges,6,0,0.0
Eggs,Bread,11,2,18.181818181818183
Eggs,Wheat,6,1,16.666666666666668
Eggs,Rice,22,4,18.181818181818183
Eggs,Wage,6,0,0.0
Eggs,Fuel(diesel),12,0,0.0
Eggs,Beans,15,0,0.0
Eggs,Potatoes,16,1,6.25
Eggs,Eggs,22,0,0.0
Eggs,Meat,20,3,15.0
Eggs,Sugar,19,2,10.526315789473685
Eggs,Lentils,11,1,9.090909090909092
Eggs,Pasta,9,1,11.11111111111111
Eggs,Tomatoes,13,1,7.6923076923076925
Eggs,Oil,19,4,21.05263157894737
Eggs,Cheese,9,1,11.11111111111111
Eggs,Carrots,9,0,0.0
Eggs,Onions,15,1,6.666666666666667
Eggs,Bananas,8,1,12.5
Eggs,Tea,6,0,0.0
Eggs,Fuel(petrol-gasoline),14,0,0.0
Eggs,Fish,10,0,0.0
Eggs,Apples,9,1,11.11111111111111
Eggs,Milk,15,3,20.0
Eggs,Flour,14,1,7.142857142857143
Eggs,Cabbage,10,0,0.0
Eggs,Cucumbers,7,0,0.0
Eggs,Maize,7,1,14.285714285714286
Eggs,Peas,6,0,0.0
Eggs,Garlic,8,0,0.0
Eggs,Salt,10,2,20.0
Eggs,Chickpeas,6,0,0.0
Eggs,Oranges,6,0,0.0
Eggs,Spinach,5,0,0.0
Meat,Bread,14,4,28.571428571428573
Meat,Wheat,5,1,20.0
Meat,Rice,30,4,13.333333333333334
Meat,Wage,8,0,0.0
Meat,Fuel(diesel),15,2,13.333333333333334
Meat,Beans,19,0,0.0
Meat,Potatoes,18,1,5.555555555555555
Meat,Eggs,20,3,15.0
Meat,Meat,30,0,0.0
Meat,Sugar,21,5,23.80952380952381
Meat,Lentils,10,0,0.0
Meat,Pasta,11,3,27.272727272727273
Meat,Tomatoes,15,1,6.666666666666667
Meat,Oil,27,4,14.814814814814815
Meat,Cheese,10,1,10.0
Meat,Carrots,9,0,0.0
Meat,Onions,15,1,6.666666666666667
Meat,Bananas,8,1,12.5
Meat,Tea,7,1,14.285714285714286
Meat,Fuel(petrol-gasoline),14,1,7.142857142857143
Meat,Fish,15,3,20.0
Meat,Apples,9,1,11.11111111111111
Meat,Milk,16,5,31.25
Meat,Flour,20,2,10.0
Meat,Cabbage,10,0,0.0
Meat,Cucumbers,7,0,0.0
Meat,Maize,14,2,14.285714285714286
Meat,Groundnuts,9,0,0.0
Meat,Peas,5,0,0.0
Meat,Cassava,8,0,0.0
Meat,Garlic,9,0,0.0
Meat,Plantains,5,1,20.0
Meat,Salt,13,3,23.076923076923077
Meat,Chickpeas,8,0,0.0
Meat,Oranges,6,0,0.0
Meat,Spinach,5,0,0.0
Sugar,Bread,15,3,20.0
Sugar,Wheat,10,1,10.0
Sugar,Rice,34,8,23.529411764705884
Sugar,Wage,7,0,0.0
Sugar,Fuel(diesel),16,0,0.0
Sugar,Beans,21,3,14.285714285714286
Sugar,Potatoes,18,0,0.0
Sugar,Eggs,19,2,10.526315789473685
Sugar,Meat,21,5,23.80952380952381
Sugar,Sugar,36,0,0.0
Sugar,Lentils,14,2,14.285714285714286
Sugar,Pasta,13,2,15.384615384615385
Sugar,Tomatoes,14,1,7.142857142857143
Sugar,Oil,32,6,18.75
Sugar,Cheese,10,1,10.0
Sugar,Carrots,7,0,0.0
Sugar,Onions,14,0,0.0
Sugar,Bananas,7,1,14.285714285714286
Sugar,Tea,8,1,12.5
Sugar,Fuel(petrol-gasoline),17,2,11.764705882352942
Sugar,Fish,12,0,0.0
Sugar,Apples,8,0,0.0
Sugar,Milk,17,4,23.529411764705884
Sugar,Flour,27,3,11.11111111111111
Sugar,Cabbage,8,0,0.0
Sugar,Cucumbers,6,1,16.666666666666668
Sugar,Fuel(kerosene),6,1,16.666666666666668
Sugar,Sorghum,7,0,0.0
Sugar,Maize,13,1,7.6923076923076925
Sugar,Groundnuts,6,1,16.666666666666668
Sugar,Peas,6,0,0.0
Sugar,Garlic,6,1,16.666666666666668
Sugar,Salt,16,3,18.75
Sugar,Chickpeas,7,1,14.285714285714286
Sugar,Oranges,5,0,0.0
Lentils,Bread,6,0,0.0
Lentils,Rice,15,2,13.333333333333334
Lentils,Wage,5,0,0.0
Lentils,Fuel(diesel),7,0,0.0
Lentils,Beans,10,1,10.0
Lentils,Potatoes,9,0,0.0
Lentils,Eggs,11,1,9.090909090909092
Lentils,Meat,10,0,0.0
Lentils,Sugar,14,2,14.285714285714286
Lentils,Lentils,15,0,0.0
Lentils,Pasta,9,0,0.0
Lentils,Tomatoes,11,0,0.0
Lentils,Oil,14,2,14.285714285714286
Lentils,Cheese,9,0,0.0
Lentils,Onions,9,0,0.0
Lentils,Bananas,5,0,0.0
Lentils,Tea,5,1,20.0
Lentils,Fuel(petrol-gasoline),8,0,0.0
