correlation,country,n,combinations
0.8875 & 0.8304,Afghanistan & Tajikistan,2,Bread & Wheat
0.8959999999999999,Guatemala,1,Bread & Rice
0.8438 & 0.8968,Guatemala & Turkey,2,Bread & Beans
0.8929,Guatemala,1,Bread & Potatoes
0.9523 & 0.7762,Guatemala & Kyrgyzstan,2,Bread & Eggs
0.9562 & 0.8151 & 0.8064 & 0.8185,Guatemala & Lebanon & Turkey & Ukraine,4,Bread & Meat
0.8724 & 0.8124 & 0.7925,Guatemala & Lebanon & Turkey,3,Bread & Sugar
0.9751,Guatemala,1,Bread & Pasta
0.8084,Guatemala,1,Bread & Tomatoes
0.9855 & 0.8077 & 0.9426 & 0.7821 & 0.8597 & 0.8354,Guatemala & Kyrgyzstan & Lesotho & Tajikistan & Turkey & Lebanon,6,Bread & Oil
0.9774,Guatemala,1,Bread & Cheese
0.8023,Guatemala,1,Bread & Onions
0.9608,Guatemala,1,Bread & Bananas
0.9299,Turkey,1,Bread & Fish
0.9841 & 0.7863 & 0.7766,Guatemala & Kenya & Turkey,3,Bread & Milk
0.8602 & 0.9689 & 0.9403 & 0.8268 & 0.7536,Tajikistan & Iraq & Lesotho & Turkey & Ukraine,5,Bread & Flour
0.7692 & 0.7647,Guatemala & Tajikistan,2,Bread & Maize
0.9553,Guatemala,1,Bread & Plantains
0.9427 & 0.9049,Guatemala & Turkey,2,Bread & Coffee
0.9897 & 0.7588 & 0.9221,Guatemala & Tajikistan & Turkey,3,Bread & Salt
0.8340000000000001,State of Palestine,1,Bread & Chickpeas
0.9767,Guatemala,1,Bread & Tortilla (maize)
0.9089,Turkey,1,Bread & Bulgur
0.9205,Turkey,1,Bread & Cocoa (powder)
0.9429,State of Palestine,1,Bread & Water
0.7669,Ukraine,1,Bread & Fat (salo)
0.8875 & 0.8304,Afghanistan & Tajikistan,2,Wheat & Bread
0.9436 & 0.9729 & 0.8111,India & Nepal & Tajikistan,3,Wheat & Rice
0.8859,Afghanistan,1,Wheat & Fuel (diesel)
0.8116,Tajikistan,1,Wheat & Eggs
0.868,Tajikistan,1,Wheat & Meat
0.8293,India,1,Wheat & Sugar
0.8678 & 0.8285 & 0.9522 & 0.8251,Indonesia & Mauritania & Tajikistan & India,4,Wheat & Oil
0.7594 & 0.7651,Indonesia & Tajikistan,2,Wheat & Milk
0.965 & 0.9749 & 0.9052,Tajikistan & India & Yemen,3,Wheat & Flour
0.8443,Indonesia,1,Wheat & Fuel (kerosene)
0.8544,Ethiopia,1,Wheat & Sorghum
0.9048 & 0.9563,Ethiopia & Tajikistan,2,Wheat & Maize
0.8577,Sudan,1,Wheat & Millet
0.8361,Tajikistan,1,Wheat & Salt
0.8959999999999999,Guatemala,1,Rice & Bread
0.9436 & 0.9729 & 0.8111,India & Nepal & Tajikistan,3,Rice & Wheat
0.8941,Afghanistan,1,Rice & Wage
0.9058 & 0.8709 & 0.9246 & 0.8676 & 0.7699,Afghanistan & Armenia & Democratic Republic of the Congo & Pakistan & Ukraine,5,Rice & Fuel (diesel)
0.8540000000000001 & 0.8704 & 0.8617 & 0.8435 & 0.8373 & 0.9075 & 0.7872,Mozambique & Turkey & Yemen & Zambia & Colombia & Guatemala & Lebanon,7,Rice & Beans
0.8713 & 0.7874 & 0.8573 & 0.75,Indonesia & Iran(Islamic Republic of) & Philippines & Tajikistan,4,Rice & Eggs
0.8751 & 0.753 & 0.9024 & 0.8753,Democratic Republic of the Congo & Guinea & Indonesia & Tajikistan,4,Rice & Meat
0.7662 & 0.8675 & 0.8515 & 0.9652 & 0.8046 & 0.7845 & 0.8074 & 0.8036,Guinea & India & Indonesia & Iran(Islamic Republic of) & Mozambique & Tajikistan & Turkey & Yemen,8,Rice & Sugar
0.9088 & 0.9413,Iran(Islamic Republic of) & Yemen,2,Rice & Lentils
0.8983 & 0.8736 & 0.8181,Turkey & Ukraine & Armenia,3,Rice & Pasta
0.8604 & 0.9714 & 0.8221 & 0.8265 & 0.8669 & 0.8218 & 0.8742 & 0.9809 & 0.8767 & 0.8026 & 0.8421 & 0.7974 & 0.9884,Djibouti & Haiti & India & Iran(Islamic Republic of) & Jordan & Mozambique & Pakistan & Somalia & Swaziland  & Syrian Arab Republic & Tajikistan & Congo & Myanmar,13,Rice & Oil
0.9228,Syrian Arab Republic,1,Rice & Tea
0.8824,Tajikistan,1,Rice & Milk
0.8744 & 0.9329999999999999 & 0.7742 & 0.9065 & 0.8798 & 0.8128 & 0.8173 & 0.8151 & 0.8623,Haiti & Mozambique & Tajikistan & Turkey & Ukraine & Cape Verde & Colombia & Pakistan & Yemen,9,Rice & Flour
0.8598,Indonesia,1,Rice & Fuel (kerosene)
0.8645 & 0.8557 & 0.7652,Benin & Nigeria & Burkina Faso,3,Rice & Sorghum
0.7964 & 0.8213 & 0.7665 & 0.8169 & 0.7679 & 0.7964 & 0.8959999999999999 & 0.8501 & 0.8383 & 0.9452,Guatemala & Burkina Faso & Colombia & Costa Rica & Mali & Niger & Nigeria & Senegal & Tajikistan & Timor-Leste,10,Rice & Maize
0.8618 & 0.7653 & 0.8387,Nigeria & Senegal & Burkina Faso,3,Rice & Millet
0.9392,Bolivia,1,Rice & Noodles
0.76 & 0.795,Mozambique & Zambia,2,Rice & Groundnuts
0.8288,Liberia,1,Rice & Cassava
0.9195 & 0.8775 & 0.9265,Myanmar & Tajikistan & Yemen,3,Rice & Salt
0.9336,Myanmar,1,Rice & Chickpeas
0.9194,Democratic Republic of the Congo,1,Rice & Transport (public)
0.8140000000000001,Guatemala,1,Rice & Tortilla (maize)
0.905,Pakistan,1,Rice & Butter
0.8652,Turkey,1,Rice & Bulgur
0.7597,Syrian Arab Republic,1,Rice & Fuel (gas)
0.81,Turkey,1,Rice & Cocoa (powder)
0.8941,Afghanistan,1,Wage & Rice
0.9808,Colombia,1,Wage & Fuel (diesel)
0.9687,Colombia,1,Wage & Cheese
0.9590000000000001,Colombia,1,Wage & Bananas
0.9863,Colombia,1,Wage & Fuel (petrol-gasoline)
0.8906,Colombia,1,Wage & Flour
0.7819,Colombia,1,Wage & Peas
0.8911,Colombia,1,Wage & Cocoa
0.8859,Afghanistan,1,Fuel (diesel) & Wheat
0.9058 & 0.8709 & 0.9246 & 0.8676 & 0.7699,Afghanistan & Armenia & Democratic Republic of the Congo & Pakistan & Ukraine,5,Fuel (diesel) & Rice
0.9808,Colombia,1,Fuel (diesel) & Wage
0.8926 & 0.8718,South Sudan & Democratic Republic of the Congo,2,Fuel (diesel) & Beans
0.8991 & 0.9002,Democratic Republic of the Congo & Ukraine,2,Fuel (diesel) & Meat
0.8625,Ukraine,1,Fuel (diesel) & Pasta
0.9218 & 0.8298 & 0.9368,South Sudan & Myanmar & Pakistan,3,Fuel (diesel) & Oil
