country, year, pr_total
Afghanistan,1991,253684
Afghanistan,1992,196160
Afghanistan,1993,227908
Afghanistan,1994,188898
Afghanistan,1995,284112
Afghanistan,1996,301017
Afghanistan,1997,248984
Afghanistan,1998,444589
Afghanistan,1999,205292
Afghanistan,2000,306167
Afghanistan,2001,404989
Afghanistan,2002,224939
Afghanistan,2003,182672
Afghanistan,2004,142879
Afghanistan,2005,315965
Afghanistan,2006,211622
Afghanistan,2007,363446
Afghanistan,2008,177835
Afghanistan,2009,297199
Afghanistan,2010,169631
Afghanistan,2011,165337
Afghanistan,2012,137160
Afghanistan,2013,267127
Afghanistan,2014,263668
Algeria,1991,320896
Algeria,1992,286814
Algeria,1993,501883
Algeria,1994,504766
Algeria,1995,363845
Algeria,1996,379603
Algeria,1997,338619
Algeria,1998,544940
Algeria,1999,495914
Algeria,2000,449802
Algeria,2001,576337
Algeria,2002,456690
Algeria,2003,594507
Algeria,2004,325903
Algeria,2005,356545
Algeria,2006,368675
Algeria,2007,399531
Algeria,2008,523331
Algeria,2009,435040
Algeria,2010,468219
Algeria,2011,457590
Algeria,2012,321233
Algeria,2013,479337
Algeria,2014,338392
Armenia,1991,126329
Armenia,1992,37854
Armenia,1993,42596
Armenia,1994,57381
Armenia,1995,101794
Armenia,1996,98186
Armenia,1997,104308
Armenia,1998,47698
Armenia,1999,226773
Armenia,2000,65593
Armenia,2001,215489
Armenia,2002,42189
Armenia,2003,85064
Armenia,2004,32584
Armenia,2005,39249
Armenia,2006,46200
Armenia,2007,84840
Armenia,2008,134118
Armenia,2009,60514
Armenia,2010,124614
Armenia,2011,103108
Armenia,2012,55330
Armenia,2013,50283
Armenia,2014,115860
Azerbaijan,1991,108342
Azerbaijan,1992,50927
Azerbaijan,1993,44994
Azerbaijan,1994,56442
Azerbaijan,1995,46505
Azerbaijan,1996,63657
Azerbaijan,1997,111058
Azerbaijan,1998,66493
Azerbaijan,1999,105525
Azerbaijan,2000,108809
Azerbaijan,2001,68063
Azerbaijan,2002,67355
Azerbaijan,2003,61414
Azerbaijan,2004,49715
Azerbaijan,2005,65644
Azerbaijan,2006,147080
Azerbaijan,2007,148500
Azerbaijan,2008,43465
Azerbaijan,2009,36323
Azerbaijan,2010,180419
Azerbaijan,2011,80711
Azerbaijan,2012,108771
Azerbaijan,2013,50058
Azerbaijan,2014,104858
Bangladesh,1991,34270
Bangladesh,1992,147129
Bangladesh,1993,34637
Bangladesh,1994,31754
Bangladesh,1995,42819
Bangladesh,1996,87680
Bangladesh,1997,82201
Bangladesh,1998,21993
Bangladesh,1999,81821
Bangladesh,2000,77617
Bangladesh,2001,97172
Bangladesh,2002,50228
Bangladesh,2003,120224
Bangladesh,2004,162243
Bangladesh,2005,223334
Bangladesh,2006,289860
Bangladesh,2007,146748
Bangladesh,2008,191916
Bangladesh,2009,117092
Bangladesh,2010,120078
Bangladesh,2011,135837
Bangladesh,2012,73078
Bangladesh,2013,236294
Bangladesh,2014,238554
Benin,1991,125045
Benin,1992,170336
Benin,1993,53270
Benin,1994,195826
Benin,1995,55366
Benin,1996,127370
Benin,1997,114821
Benin,1998,47539
Benin,1999,175732
Benin,2000,137448
Benin,2001,244058
Benin,2002,176534
Benin,2003,82712
Benin,2004,278035
Benin,2005,160656
Benin,2006,128215
Benin,2007,71478
Benin,2008,264906
Benin,2009,172576
Benin,2010,133367
Benin,2011,179077
Benin,2012,295617
Benin,2013,257755
Benin,2014,90943
Bhutan,1991,45449
Bhutan,1992,61326
Bhutan,1993,127941
Bhutan,1994,103574
Bhutan,1995,36011
Bhutan,1996,67455
Bhutan,1997,80065
Bhutan,1998,172128
Bhutan,1999,117586
Bhutan,2000,242639
Bhutan,2001,173663
Bhutan,2002,97993
Bhutan,2003,45800
Bhutan,2004,106289
Bhutan,2005,58719
Bhutan,2006,92866
Bhutan,2007,70204
Bhutan,2008,194768
Bhutan,2009,209295
Bhutan,2010,44650
Bhutan,2011,64308
Bhutan,2012,159301
Bhutan,2013,94426
Bhutan,2014,187179
