,Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,Afghanistan,AFG,50.0,38.0,60025.0,32132.0,19131.0,19605.0,18775.0,5.0,,,,6.0,3.0,22.0,30.0,32.0,35.0,42.0,37.0,37.0,6434.0,3009.0,16187.0,16863.0,300423.0,257554.0,59770.0
1,Armenia,ARM,,,300000.0,334000.0,304039.0,218950.0,218950.0,219000.0,310012.0,296216.0,280591.0,264337.0,247550.0,239289.0,235235.0,219550.0,113714.0,4566.0,3953.0,3607.0,3296.0,2918.0,2854.0,13732.0,17640.0,19319.0,17873.0
2,Azerbaijan,AZE,,,246000.0,228840.0,231635.0,233682.0,233692.0,233715.0,221635.0,221643.0,287.0,367.0,458.0,326.0,8606.0,3004.0,2618.0,2352.0,2061.0,1642.0,1891.0,1730.0,1468.0,1380.0,1299.0,1278.0,1183.0
3,Burundi,BDI,268403.0,270136.0,271745.0,271883.0,300302.0,173017.0,20733.0,22028.0,25093.0,22109.0,27136.0,27896.0,40533.0,40971.0,48808.0,20681.0,13176.0,24483.0,21093.0,24967.0,29365.0,35659.0,41813.0,45490.0,52936.0,53363.0,57462.0
4,Benin,BEN,456.0,456.0,293.0,156241.0,70406.0,23843.0,5960.0,2918.0,2903.0,3657.0,4296.0,4799.0,5021.0,5034.0,4802.0,30294.0,10797.0,7621.0,6933.0,7205.0,7139.0,7217.0,4966.0,194.0,415.0,530.0,799.0
5,Burkina Faso,BFA,350.0,320.0,5670.0,6604.0,49990.0,29777.0,28381.0,1801.0,564.0,675.0,696.0,457.0,457.0,466.0,492.0,511.0,511.0,535.0,557.0,543.0,531.0,546.0,39306.0,29234.0,31894.0,34017.0,32546.0
6,Bangladesh,BGD,145.0,40260.0,245154.0,198954.0,116228.0,51118.0,30692.0,21603.0,22277.0,22210.0,21627.0,22173.0,22025.0,19792.0,20449.0,21098.0,26311.0,27573.0,28389.0,228586.0,229253.0,229669.0,230697.0,231145.0,232472.0,231958.0,276198.0
7,Bolivia,BOL,200.0,341.0,491.0,669.0,734.0,681.0,698.0,333.0,349.0,350.0,351.0,347.0,350.0,527.0,524.0,535.0,567.0,632.0,664.0,679.0,695.0,716.0,733.0,748.0,763.0,775.0,761.0
8,Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Central African Republic,CAF,4284.0,12223.0,19040.0,44129.0,47791.0,33856.0,36564.0,38499.0,43013.0,49314.0,55661.0,49239.0,50725.0,44753.0,25020.0,24569.0,12357.0,7535.0,7429.0,27047.0,21574.0,16730.0,14014.0,14322.0,7694.0,7330.0,12107.0
10,Cote d'Ivoire,CIV,272281.0,230290.0,174076.0,251588.0,360112.0,297908.0,327696.0,208502.0,151182.0,138429.0,120691.0,126239.0,44749.0,75971.0,72088.0,41627.0,27288.0,24647.0,24811.0,24604.0,26218.0,24221.0,3980.0,2980.0,1925.0,1980.0,1377.0
11,Cameroon,CMR,49876.0,45237.0,42233.0,44013.0,44036.0,45781.0,46407.0,47057.0,47826.0,49227.0,43680.0,41186.0,58288.0,58583.0,58861.0,52042.0,35083.0,60137.0,81037.0,99957.0,104275.0,100373.0,98969.0,114753.0,264126.0,342973.0,375393.0
12,Democratic Republic of the Congo,COD,416435.0,482959.0,391127.0,572070.0,1724365.0,1433760.0,675973.0,297538.0,240214.0,285270.0,332509.0,362012.0,332978.0,234033.0,199323.0,204341.0,208371.0,177390.0,155162.0,185809.0,166336.0,152749.0,65109.0,113362.0,119754.0,383095.0,451947.0
13,Congo,COG,2990.0,3395.0,3385.0,13646.0,15522.0,19404.0,20451.0,20697.0,27174.0,39870.0,123190.0,119147.0,109201.0,91362.0,68536.0,66075.0,55788.0,38472.0,24779.0,111411.0,133112.0,141232.0,98455.0,51037.0,54842.0,44955.0,46439.0
14,Colombia,COL,460.0,450.0,478.0,298.0,316.0,218.0,220.0,223.0,226.0,230.0,239.0,210.0,205.0,186.0,141.0,155.0,143.0,168.0,170.0,196.0,212.0,219.0,219.0,224.0,213.0,226.0,221.0
15,Cape Verde,CPV,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
16,Costa Rica,CRI,276210.0,117492.0,114392.0,24834.0,24630.0,24226.0,23176.0,23114.0,22986.0,22903.0,5519.0,8104.0,12433.0,13508.0,10413.0,11253.0,11515.0,17190.0,18136.0,19116.0,19505.0,20057.0,20449.0,20569.0,20744.0,3616.0,4152.0
17,Djibouti,DJI,77606.0,96144.0,28000.0,34065.0,33406.0,27310.0,25076.0,23590.0,23582.0,23271.0,23243.0,23176.0,21702.0,27034.0,18035.0,10456.0,9259.0,6651.0,9228.0,12111.0,15104.0,20340.0,19139.0,20015.0,20530.0,19365.0,17678.0
18,Algeria,DZA,169110.0,169124.0,219314.0,219067.0,219073.0,192489.0,190267.0,170746.0,165226.0,165249.0,169656.0,169422.0,169233.0,169033.0,169048.0,94101.0,94180.0,94137.0,94093.0,94137.0,94144.0,94148.0,94133.0,94150.0,94128.0,94182.0,94220.0
