Country,product1,product2,correlation,Amount_of_datapoints
Afghanistan,Bread,Wheat,0.8875,44
Afghanistan,Wheat,Fuel (diesel),0.8859,65
Afghanistan,Rice,Wage,0.8941,41
Afghanistan,Rice,Fuel (diesel),0.9058,41
Armenia,Flour,Pasta,0.8195,61
Armenia,Flour,Cheese,0.8103,61
Armenia,Meat,Pasta,0.7916,61
Armenia,Meat,Apples,0.7861,61
Armenia,Meat,Fish,0.787,61
Armenia,Oil,Sugar,0.8176,61
Armenia,Oil,Pasta,0.8536,61
Armenia,Oil,Fuel (petrol-gasoline),0.8875,52
Armenia,Sugar,Fuel (petrol-gasoline),0.8208,52
Armenia,Pasta,Rice,0.8181,61
Armenia,Pasta,Fuel (petrol-gasoline),0.9022,52
Armenia,Tomatoes,Cucumbers,0.8891,61
Armenia,Rice,Fuel (diesel),0.8709,48
Armenia,Cheese,Fish,0.7522,61
Armenia,Fuel (diesel),Fuel (petrol-gasoline),0.9844,173
Benin,Rice,Sorghum,0.8645,149
Benin,Sorghum,Maize,0.8032,149
Benin,Maize,Millet,0.8256,79
Bolivia,Noodles,Rice,0.9392,83
Burkina Faso,Maize,Sorghum,0.9493,180
Burkina Faso,Maize,Millet,0.9082,180
Burkina Faso,Maize,Rice,0.8213,57
Burkina Faso,Sorghum,Millet,0.9687,180
Burkina Faso,Sorghum,Rice,0.7652,57
Burkina Faso,Millet,Rice,0.8387,57
Burundi,Beans,Flour,0.8111,173
Burundi,Flour,Sweet potatoes,0.8929,174
Cameroon,Maize,Sorghum,0.8275,82
Cameroon,Beans,Sorghum,0.7551,82
Cape Verde,Flour,Rice,0.8128,46
Central African Republic,Millet,Cassava,0.7596,123
Chad,Maize,Millet,0.8922,168
Chad,Maize,Sorghum,0.8588,168
Chad,Millet,Sorghum,0.9385,168
Colombia,Flour,Oil,0.7723,144
Colombia,Flour,Rice,0.8173,66
Colombia,Flour,Cocoa,0.9416,56
Colombia,Flour,Fish,0.8685,56
Colombia,Flour,Chickpeas,0.7639,120
Colombia,Flour,Bananas,0.8846,56
Colombia,Flour,Fuel (diesel),0.9419,56
Colombia,Flour,Fuel (petrol-gasoline),0.9319,56
Colombia,Flour,Cheese,0.8867,52
Colombia,Flour,Milk,0.8563,75
Colombia,Flour,Wage,0.8906,56
Colombia,Maize,Rice,0.7665,66
Colombia,Beans,Rice,0.8373,66
Colombia,Beans,Milk,0.8966,75
Colombia,Sugar,Chickpeas,0.821,120
Colombia,Cocoa,Fish,0.8174,56
Colombia,Cocoa,Bananas,0.8709,56
Colombia,Cocoa,Fuel (diesel),0.9464,56
Colombia,Cocoa,Fuel (petrol-gasoline),0.9354,56
Colombia,Cocoa,Cheese,0.9036,52
